date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:36:17	86292/86292	---M--	200	added ('OK')	image/jpeg	etag:%22657549b15dd927c2ebae3d8bd15f86b7-ssl%22	https://appstack.bootlab.io/img/avatars/avatar-5.jpg	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/img/avatars/avatar-5.jpg	(from https://appstack.bootlab.io/dashboard-default.html)
10:36:18	94528/94528	---M--	200	added ('OK')	image/jpeg	etag:%22979031b45db5ae0b6dbf80fba565398c-ssl%22	https://appstack.bootlab.io/img/avatars/avatar-2.jpg	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/img/avatars/avatar-2.jpg	(from https://appstack.bootlab.io/dashboard-default.html)
10:36:19	78108/78108	---M--	200	added ('OK')	image/jpeg	etag:%2220106e3fcb04611c93665056f56a8025-ssl%22	https://appstack.bootlab.io/img/avatars/avatar-4.jpg	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/img/avatars/avatar-4.jpg	(from https://appstack.bootlab.io/dashboard-default.html)
10:36:21	80576/80576	---M--	200	added ('OK')	image/jpeg	etag:%22c98e7c44eeac1a5fd0c7ab2f0f4cbf37-ssl%22	https://appstack.bootlab.io/img/avatars/avatar-3.jpg	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/img/avatars/avatar-3.jpg	(from https://appstack.bootlab.io/dashboard-default.html)
10:36:22	775/775	---M--	200	added ('OK')	image/png	etag:%22e15925bcf5a667220c8ab61f5c3a6204-ssl%22	https://appstack.bootlab.io/img/flags/us.png	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/img/flags/us.png	(from https://appstack.bootlab.io/dashboard-default.html)
10:36:23	1882/1882	---M--	200	added ('OK')	image/png	etag:%2279f49d9578ad98dd9c5d41f1b361b832-ssl%22	https://appstack.bootlab.io/img/flags/es.png	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/img/flags/es.png	(from https://appstack.bootlab.io/dashboard-default.html)
10:36:24	107/107	---M--	200	added ('OK')	image/png	etag:%225d21e0c656e9ae5b6fef964ecb65a47b-ssl%22	https://appstack.bootlab.io/img/flags/de.png	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/img/flags/de.png	(from https://appstack.bootlab.io/dashboard-default.html)
10:36:25	159/159	---M--	200	added ('OK')	image/png	etag:%22536949e571bd6a061b8abc4de4d878cf-ssl%22	https://appstack.bootlab.io/img/flags/nl.png	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/img/flags/nl.png	(from https://appstack.bootlab.io/dashboard-default.html)
10:36:27	65529/65529	---M--	200	added ('OK')	image/jpeg	etag:%224bb0c08f73ae6b9168d0e8325ca64ac5-ssl%22	https://appstack.bootlab.io/img/avatars/avatar.jpg	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/img/avatars/avatar.jpg	(from https://appstack.bootlab.io/dashboard-default.html)
10:36:28	31373/31373	---M--	200	added ('OK')	image/png	etag:%225b453d130bd443ad1614d91e9813f270-ssl%22	https://appstack.bootlab.io/img/illustrations/customer-support.png	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/img/illustrations/customer-support.png	(from https://appstack.bootlab.io/dashboard-default.html)
10:36:30	3462178/3462178	---M-Z	200	added ('OK')	application/javascript	etag:%229c78db59ec98c8bc300286d8666a63b9-ssl-df%22	https://appstack.bootlab.io/js/app.js	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/js/app.js	(from https://appstack.bootlab.io/dashboard-default.html)
10:36:31	21603/21603	---M-Z	200	added ('OK')	text/html	etag:%220e7c3c110621d07bb63f5bd8b67ceadf-ssl-df%22	https://appstack.bootlab.io/	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/index-2.html	(from https://appstack.bootlab.io/css/light.css)
10:36:32	134346/134346	---MCZ	200	added ('OK')	application/octet-stream	etag:%22b4b16390484f560435b0a867223355a3-ssl-df%22	https://appstack.bootlab.io/fonts/fa-brands-400.eot	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/fonts/fa-brands-400.eot	(from https://appstack.bootlab.io/css/light.css)
10:36:33	134346/134346	---M-Z	200	added ('OK')	application/octet-stream	etag:%22b4b16390484f560435b0a867223355a3-ssl-df%22	https://appstack.bootlab.io/fonts/fa-brands-400.eot?	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/fonts/fa-brands-400d41d.eot	(from https://appstack.bootlab.io/css/light.css)
10:36:34	76764/76764	---M--	200	added ('OK')	font/woff2	etag:%22ba386c34384f3af2a6508b13ba458350-ssl%22	https://appstack.bootlab.io/fonts/fa-brands-400.woff2	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/fonts/fa-brands-400.woff2	(from https://appstack.bootlab.io/css/light.css)
10:36:36	90060/90060	---MCZ	200	added ('OK')	application/font-woff	etag:%22439504d6083612eaaafa4c38b87d43e3-ssl-df%22	https://appstack.bootlab.io/fonts/fa-brands-400.woff	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/fonts/fa-brands-400.woff	(from https://appstack.bootlab.io/css/light.css)
10:36:37	134040/134040	---M--	200	added ('OK')	font/ttf	etag:%22e27a3fae7e84f1444800cfbdd52368b6-ssl%22	https://appstack.bootlab.io/fonts/fa-brands-400.ttf	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/fonts/fa-brands-400.ttf	(from https://appstack.bootlab.io/css/light.css)
10:36:40	34034/34034	---MCZ	200	added ('OK')	application/octet-stream	etag:%22b8217214b98048aba50415840311372f-ssl-df%22	https://appstack.bootlab.io/fonts/fa-regular-400.eot	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/fonts/fa-regular-400.eot	(from https://appstack.bootlab.io/css/light.css)
10:36:41	747545/747545	---MCZ	200	added ('OK')	image/svg+xml	etag:%22e1307b3110feb65438f4701b6b735a00-ssl-df%22	https://appstack.bootlab.io/fonts/fa-brands-400.svg	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/fonts/fa-brands-400.svg	(from https://appstack.bootlab.io/css/light.css)
10:36:41	34034/34034	---M-Z	200	added ('OK')	application/octet-stream	etag:%22b8217214b98048aba50415840311372f-ssl-df%22	https://appstack.bootlab.io/fonts/fa-regular-400.eot?	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/fonts/fa-regular-400d41d.eot	(from https://appstack.bootlab.io/css/light.css)
10:36:42	13276/13276	---M--	200	added ('OK')	font/woff2	etag:%22d49ce114afa879a0c039738fc19169d7-ssl%22	https://appstack.bootlab.io/fonts/fa-regular-400.woff2	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/fonts/fa-regular-400.woff2	(from https://appstack.bootlab.io/css/light.css)
10:36:44	16276/16276	---MCZ	200	added ('OK')	application/font-woff	etag:%22c3cda461a6425f738a0a749d0b481692-ssl-df%22	https://appstack.bootlab.io/fonts/fa-regular-400.woff	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/fonts/fa-regular-400.woff	(from https://appstack.bootlab.io/css/light.css)
